title_1,reference-count,subj,year,month,day,row_num
D. Die einzelnen romanischen Sprachen und Litteraturen.,153,"Literature and Literary Theory, Linguistics and Language, Language and Linguistics",1882,,,3
Die Fortschritte in der Therapie der Ohrkrankheiten im letzten Decennium (1870–1879),141,"General Medicine, Otorhinolaryngology",1882,7,,4
Die Pflanzenzucht im Saatbeet,134,,1882,,,5
Untersuchungen über die specifischen Volumina flüssiger Verbindungen. I. Einleitung,116,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1882,,,6
Die Laubhölzer,114,,1882,,,7
Die Vorbereitungen zur Pflanzenzucht,108,,1882,,,8
Ueber die Wirkung aseptisch in das Auge eingedrungener Fremdkörper,87,"Cellular and Molecular Neuroscience, Sensory Systems, Ophthalmology",1882,6,,9
Entwickelung und Bau der Synovialmembranen,79,General Medicine,1882,12,,10
Verwundungen mit Zurückbleiben des verletzenden Fremdkörpers (Fremdkörperverletzungen),1890,,1921,,,1
Verwundungen ohne Zurückbleiben des verletzenden Fremdkörpers,1471,,1921,,,2
Die Chirurgie der Grippe,1098,,1921,,,3
Physiologie und Psychologie des Geschmacks,952,,1921,12,,4
"Biologische Lichtwirkungen, ihre physikalischen und chemischen Grundlagen",755,,1921,12,,5
Nervensystem,712,,1921,,,6
Alkaloide,709,,1921,,,7
Verdauungsapparat,660,,1921,,,8
Vorschriften für die Errichtung und den Betrieb elektrischer Starkstromanlagen nebst Ausführungsregeln,649,,1921,,,9
"Skelettsystem, Synovialhäute und seröse Membranen",559,,1921,,,10
BIBLIOGRAPHY,1984,,1951,,,1
Klinik,1612,,1951,,,2
Arsen,1541,,1951,,,3
"Die Klinik und Chemie der Proteinasen des menschlichen und tierischen Organismus, ihre besondere Bedeutung in seinen Abwehrleistungen und in der klinischen Diagnostik",1281,,1951,,,4
Anwendung von Polyvinylchlorid oder Vinylchlorid-Mischpolymerisaten,1083,,1951,,,5
B. La structure immanente de la langue française,963,"General Medicine, General Chemistry",1951,1,,6
Polymerisationsreaktionen,944,,1951,,,7
Genetics and cytology of barley,916,"Plant Science, Ecology, Evolution, Behavior and Systematics",1951,5,,8
Nierentätigkeit,846,,1951,,,9
Anatomisch-physiologische Grundlagen,803,,1951,,,10
Früchte und Samen,1285,,1905,,,1
Literatur- und Patenteverzeichnis,1111,,1905,,,2
Die Schwangerschaftslähmungen der Mütter,650,"Pharmacology (medical), Biological Psychiatry, Psychiatry and Mental health, Pharmacology (medical), Biological Psychiatry, Psychiatry and Mental health, General Medicine",1905,7,,3
Die Ausscheidung körperfremder Substanzen im Harn,642,,1905,12,,4
Über Fremdkörper der männlichen Harnröhre und Blase,615,Surgery,1905,8,,5
Die Chemie der Blutgerinnung,490,,1905,12,,6
"Über Dichte und Ausdehnung der Schwefelsäure in wässeriger Lösung, ein Beitrag zu ihrem physikalisch-chemischen Verhalten",487,,1905,1,16,7
Der Flüssigkeits- und Stoffwechsel des Auges mit besonderer Berücksichtigung seiner Beziehungen zu allgemeinphysiologischen und biologischen Fragen,373,,1905,12,,8
Der Flüssigkeits- und Stoffwechsel des Auges mit besonderer Berücksichtigung seiner Beziehungen zu allgemeinphysiologischen und biologischen Fragen,373,"Surgery, Pediatrics, Perinatology and Child Health",1905,12,,9
Bibliography of Archaeological Books 1904,363,"Archeology, Archeology",1905,4,1,10
Abstracts of Documents in this Supplement,9969,,1983,,,1
Literaturverzeichnis,3542,,1983,,,2
Orthopedic surgery,3321,"Pharmacology (medical), Immunology, Rheumatology, Immunology and Allergy",1983,3,,3
Hormonale Osteopathien im Erwachsenenalter,2257,,1983,,,4
Hormonale Osteopathien im Erwachsenenalter,2256,,1983,,,5
III. ABTEILUNG,2021,"Literature and Literary Theory, Visual Arts and Performing Arts, History",1983,,,6
Chemische Krankheitsursachen und Nervensystem,1891,,1983,,,7
"A Contribution to the Flora and Vegetation of Isla de los Estados (Staten Island), Tierra del Fuego, Argentina",1889,,1983,,,8
Chemistry of Glycosphingolipids,1647,,1983,,,9
DEVELOPMENT OF RELIGIOUS THOUGHT,1630,,1983,4,14,10
Moral philosophy,3406,,1988,4,7,1
Structure–Activity Relationships,3295,,1988,,,2
Psychology: The intellective soul,3229,,1988,4,7,3
Political philosophy,3219,,1988,4,7,4
"Translation, terminology and style in philosophical discourse",3214,,1988,4,7,5
Natural philosophy: Astrology and magic,3211,,1988,4,7,6
Problems of knowledge and action: Epistemology of the sciences,3209,,1988,4,7,7
Humanism,3205,,1988,4,7,8
Logic and language: Traditional logic,3201,,1988,4,7,9
Philosophy and humanistic disciplines: The theory of history,3199,,1988,4,7,10
Bibliography: (A combined report of the committees on Bibliography),1050,,1908,1,,1
Ontwikkeling der Boete en Biecht van de Zevende Eeuw tot het Vierde Lateraansche Concilie in het Jaar 1215,699,,1908,,,2
Physiologie des Magen-Darmkanales beim Säugling und älteren Kind,606,,1908,,,3
Über Membranen und Membranfunktionen,587,,1908,12,,4
Über Membranen und Membranfunktionen,587,"Surgery, Pediatrics, Perinatology and Child Health",1908,12,,5
Victor Meyer. 1848—1897,512,Inorganic Chemistry,1908,10,,6
De Geschiedenis der Boete en Biecht als Bijdrage tot de Geschiedenis der Zedenleer,440,,1908,,,7
Ueber Neuerungen auf dem Gebiete der Mineralölanalyse und Mineralölindustrie im Jahre 1907,433,"General Earth and Planetary Sciences, General Environmental Science, General Computer Science",1908,,,8
Die Pylorusstenose der Säuglinge,389,,1908,,,9
Bibliography of Archaeological Books 1907,385,"Archeology, Archeology",1908,4,1,10
References,4257,,1986,,,1
Spezieller Teil,4249,,1986,,,2
French black Africa,3127,,1986,7,24,3
British West Africa and Liberia,3023,,1986,7,24,4
The Maghrib,2990,,1986,7,24,5
Southern Africa,2983,,1986,7,24,6
Christianity,2959,,1986,7,24,7
African cross-currents,2957,,1986,7,24,8
East Africa,2946,,1986,7,24,9
Egypt and the Anglo-Egyptian Sudan,2929,,1986,7,24,10
"XIII. <i>A Disquisition on the</i> Lows <i>or</i> Barrows <i>in the Peak of</i> Derbyshire, <i>particularly that capital</i> British <i>Monument called</i> Arbelows. <i>By the Rev. Mr.</i> Pegge",16,General Medicine,1785,,,1
XXIX. <i>Memoir on</i> Hokeday. <i>By the Rev. Mr.</i> Denne,12,General Medicine,1785,,,2
"XXXVIII. <i>Observations on a Seal of</i> Thomas, <i>Suffragan Bishop of</i> Philadelphia. <i>By the Reverend Mr.</i> Pegge. <i>In a Letter to</i> Gustavus Brander, <i>Esq.</i>",10,General Medicine,1785,,,3
I. <i>Observations on an Inscription on an antient Pillar now in the possession of the Society of Antiquaries</i>,9,General Medicine,1785,,,4
"XVIII. <i>Description of a second</i> Roman <i>Pig of Lead found in</i> Derbyshire; <i>now in the possession of Mr.</i> Adam Wolley <i>of</i> Matlock <i>in that County, with Remarks. By</i> Samuel Pegge. <i>In a Letter to</i> Robert Banks Hodgkinson, <i>Esq.</i>",8,General Medicine,1785,,,5
"XXXVII. On <i>the radical Letters of the</i> Pelasgians <i>and their derivatives. By</i> Thomas Astle, <i>Esq.</i>",8,General Medicine,1785,,,6
"XXXII. <i>A Dissertation on the Religion of the</i> Druids. <i>Addressed to Governor</i> Pownall. <i>By</i> Edward Ledwich, <i>LL. B. Vicar of</i> Aghaboe, Queen's County, Ireland; <i>and Member of the Antiquary Societies of</i> London, Dublin, <i>and</i> Edinburgh",5,General Medicine,1785,,,7
"IX. <i>Observations on the present</i> Aldbrough <i>Church at</i> Holderness, <i>proving that it was not a</i> Saxon <i>Building, as Mr.</i> Somerset <i>contends. In a Letter to the Rev. Mr.</i> Norris, <i>Secretary. By the Rev. Mr.</i> Pegge",4,General Medicine,1785,,,8
XII. <i>On the Progress of</i> Gardening. <i>In a Letter from the Hon.</i> Daines Barrington <i>to the Rev. Mr.</i> Norris <i>Secretary</i>,4,General Medicine,1785,,,9
"XXI. <i>Observations on a Crystal Vase in the possession of the Earl of</i> Besborough. <i>By</i> Thomas Pownall, <i>Esq.</i>",3,General Medicine,1785,,,10
LXIII. <i>A short account of the improvements gradually made in determining the astronomic refraction</i>,55,,1810,10,,1
"Notiz der HerrnGay-Lussac undThenard von den Aufsätzen, welche sie, auf Veranlassung der Metallisirung der Alkalien, vom 7. März 1808 bis zum 27. Februar 1809 in dem National-Institute vorgelesen haben",20,General Physics and Astronomy,1810,,,2
Ueber die Sicherheit der Blitzableiter,19,General Physics and Astronomy,1810,,,3
"LXXX. <i>A short account of the improvements gradually made in determining the astronomic refraction. by Mr. T. S. Evans, master of the mathematical school at new charlton, near woolwich, kent; late of the royal observatory, greenwich, and of the royal military academy, woolwich</i>",16,,1810,12,,4
Ueber die Ausdehnung des Eisens durch die Wärme,14,General Physics and Astronomy,1810,,,5
"Untersuchungen zur nähern Bestimmung der eigenthümlichen Schwere, der Ausdehnung durch Wärme, des Gehalts, der Verminderung der Räume bei Vermischungen und des Gefrier - und Siedepunkts der Salz-Soolen",13,General Physics and Astronomy,1810,,,6
Ueber die Wiedererzeugung des Sauerstoffgas der atmosphärischen Luft. Zweite Vorlesung gehalten in der natur-historischen Gesellschaft zu Hannover,13,General Physics and Astronomy,1810,,,7
XLIX. <i>Report made to the French institute on a memoir of M.</i> <scp>Delaroche</scp> <i>on the air-bladder of fishes</i>,12,,1810,4,,8
Versuche über die Mischungen prismatischer Farben,12,General Physics and Astronomy,1810,,,9
Abweichungen und Neigungen der Magnetnadel,12,General Physics and Astronomy,1810,,,10
Ueber die Theorie des Lichts,21,General Physics and Astronomy,1811,,,1
"Ueber den gelben Eisenocher, in chemischer, mineralogischer und metallurgischer Hinsicht",17,General Physics and Astronomy,1811,,,2
"Historisch-kritische Untersuchung über die festen Mischungs-Verhältnisse in den chemischen Verbindungen, und über die Gesetze, welche man in ihnen in den neusten Zeiten entdeckt hat",17,General Physics and Astronomy,1811,,,3
"Ueber den gelben Eisenocher, in chemischer, mineralogischer und metallurgischer Hinsicht",17,General Physics and Astronomy,1811,,,4
"Neueelektrisch - chemische Untersuchungen, besonders über dieMetalle aus den Alkalien und aus den Erden, und über einige Verbindungen, in die der Wasserstoff tritt",14,General Physics and Astronomy,1811,,,5
Untersuchungen über das oxygenirt-salzsaure Gas und über die Bestandtheile der Salzsäure; nebst einigen im Laboratorio der Roy. Instit. angestellten Versuchen über den Schwefel und den Phosphor,14,General Physics and Astronomy,1811,,,6
"Ueber einige der Verbindungen des oxygenirt-salzsauren Gas und des Sauerstoffs mit andern Körpern, und über die chemischen Beziehungen, worin diese Principe zu den verbrennlichen Körpern stehen",11,General Physics and Astronomy,1811,,,7
"VERSUCHdie bestimmten und einfachen Verhältnisse aufzufinden, nach welchen die Bestandtheile der unorganischen Natur mit einander verbunden sind",10,General Physics and Astronomy,1811,,,8
"BEMERKUNGEN über eine Beziehung, in der die Oxydirung der Metalle und ihre Sättigungs-Capacität für die Säuren mit einander stehen",9,General Physics and Astronomy,1811,,,9
"VERSUCH,die bestimmten und einfachen Verhältnisse aufzufinden, nach welchen die Bestandtheile der unorganischen Natur mit einander verbunden sind",9,General Physics and Astronomy,1811,,,10
"IV. <i>An account of some geological specimens, collected by Captain</i> P. P. K<scp>ing</scp>, <i>in his Survey of the Coasts of Australia, and by</i> R<scp>obert</scp> B<scp>rown</scp>, <i>Esq., on the Shores of the Gulf of Carpentaria, during the Voyage of Captain</i> F<scp>linders</scp>",33,,1826,7,31,1
"LIV. <i>Character and description of</i> Kingia, <i>a new genus of plants found on the South-west coast of New Holland: with observations on the structure of its unimpregnated ovulum; and on the female flower of Cycadeœ and Coniferœ</i>",26,,1826,5,31,2
"LXI. <i>Character and description of</i> Kingia, <i>a new genus of plants found on the South-west Coast of Nero Holland: with observations on the structure of its unimpregnated ovulum ; and on the female flower of Cycadeæ and Coniferæ</i>",24,,1826,6,30,3
Ueber die durch den Barometerstand zu bemerkenden und täglich in regelmässigen Perioden geschehenden Veränderungen der Erdatmosphäre,21,General Physics and Astronomy,1826,,,4
Untersuchung über das Brechungsvermögen der elastischen Flüssigkeiten,12,General Physics and Astronomy,1826,,,5
Ueber die Krystallformen und Eigenschaften der Manganerze,11,General Physics and Astronomy,1826,,,6
Untersuchungen über die Unterschwefelsäure,11,General Physics and Astronomy,1826,,,7
Ueber die Lagerung des Platins,9,General Physics and Astronomy,1826,,,8
Beiträge zur mineralogischen Optik,9,General Physics and Astronomy,1826,,,9
"XVIII. <i>An account of some geological specimens, collected by Captain</i> P. P. K<scp>ing</scp>, <i>in his survey of the coasts of Australia, and by</i> R<scp>obert</scp> B<scp>rown</scp>, <i>Esq., on the shores of the gulf of Carpentaria, during the voyage of Captain</i> F<scp>linders</scp>",9,,1826,8,31,10
Bibliography,403,,1895,3,,1
"Ueber endotheliale Geschwülste, zugleich ein Beitrag zu den Speicheldrüsen- und Gaumentumoren",367,Surgery,1895,6,,2
Sur les nitramines aliphatiques,238,General Chemistry,1895,,,3
Welche elektrolytschen Methoden sind in der analytischen Praxis mit Vorteil verwendbar?,169,General Chemical Engineering,1895,9,20,4
Beziehungen der Akromegalie zu Augenerkrankungen,167,"Cellular and Molecular Neuroscience, Sensory Systems, Ophthalmology",1895,4,,5
Middeleeuwsche Kloosterregels,161,,1895,,,6
Beiträge zur Kenntniss der secundären Veränderungen der primären optischen Centren und Bahnen in Fällen von congenitaler Anophthalmie und Bulbusatrophie bei neugeborenen Kindern,153,"Pharmacology (medical), Biological Psychiatry, Psychiatry and Mental health, Pharmacology (medical), Biological Psychiatry, Psychiatry and Mental health, General Medicine",1895,12,,7
Das atomare und molekulare Lösungsvolumen,139,,1895,,,8
Ueber das zweiwerthige Kohlenstoffatom. Die Chemie des Cyans und des Isocyans,135,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1895,,,9
Zur operativen Behandlung der Myome während der Schwangerschaft und Geburt,134,"Obstetrics and Gynecology, General Medicine, Obstetrics and Gynecology, Obstetrics and Gynecology, Obstetrics and Gynecology",1895,2,,10
Vanadium,1253,,1918,,,1
"Antimon, Sb",1097,,1918,,,2
Arsen (As),656,,1918,,,3
Die tierischen Schmarotzer des Auges,556,,1918,,,4
Plazentare Erkrankungen,504,,1918,,,5
Gesundheitspflege des Auges,489,,1918,,,6
Wein,487,,1918,,,7
Die Lehre von den flüssigen Krystallen und ihre Beziehung zu den Problemen der Biologie,438,,1918,12,,8
Reduktion der Nitroverbindungen,437,,1918,,,9
Electrolytic Medication. (Physiological and Dental Aspects.),425,,1918,8,,10
SHORT-TITLE LIST OF AUTHORITIES QUOTED,4165,,1935,,,1
American Literature,2624,"Literature and Literary Theory, Linguistics and Language, Language and Linguistics",1935,,,2
Röntgenschäden,1645,,1935,,,3
Studies on the Influence of Emotions on the Functions of the Organs,1131,General Medicine,1935,7,,4
Wärmebehandelbare Legierungen,1097,,1935,,,5
English Language and Literature,1096,"Literature and Literary Theory, Linguistics and Language, Language and Linguistics",1935,,,6
Documenten,1070,,1935,,,7
Vasomotorisch-trophische Erkrankungen,871,,1935,,,8
"The Progress of Greek Epigraphy, 1933–1934",845,"Literature and Literary Theory, Linguistics and Language, Archeology, Visual Arts and Performing Arts, Language and Linguistics, Archeology, Classics",1935,,,9
Wärmebehandelbare Legierungen,826,,1935,,,10
Chaulmoograöl und Verwandtes,2026,,1937,,,1
Das Kochsalz und seine Bedeutung in der Klinik,1671,,1937,,,2
Elektrodiagnostik (einschließlich Chronaxie und Aktionsströmen),1657,,1937,,,3
Arthritis und Tuberkulose,1396,,1937,,,4
Insulin,1304,,1937,,,5
Linse,1288,,1937,,,6
Die Krankheiten des Hypophysenzwischenhirnsystems,1159,,1937,,,7
Der neurale Faktor in der Regulierung der Funktionen des weiblichen Genitale,1139,,1937,,,8
Der neurale Faktor in der Regulierung der Funktionen des weiblichen Genitale,1081,,1937,,,9
"The Progress of Greek Epigraphy, 1935–1936",950,"Literature and Literary Theory, Linguistics and Language, Archeology, Visual Arts and Performing Arts, Language and Linguistics, Archeology, Classics",1937,,,10
Die Erkrankungen des erythrocytären Systems,2600,,1942,,,1
Aluminium,1533,,1942,,,2
Die Ergebnisse der Encephalographie im Kindesalter,763,,1942,,,3
"The Progress of Greek Epigraphy, 1939–1940",616,"Literature and Literary Theory, Linguistics and Language, Archeology, Visual Arts and Performing Arts, Language and Linguistics, Archeology, Classics",1942,11,,4
Die Lehre von der Faser als Form- und Funktionselement des Organismus,541,"Cell Biology, Molecular Biology, General Medicine, Pathology and Forensic Medicine",1942,11,,5
Taxonomy and phylogeny,517,"Plant Science, Ecology, Evolution, Behavior and Systematics",1942,12,,6
The cultivation of algae,509,"Plant Science, Ecology, Evolution, Behavior and Systematics",1942,2,,7
Zur Lehre vom Feinbau der nervösen Substanz,507,"Biological Psychiatry, Psychiatry and Mental health, Neurology (clinical)",1942,12,,8
Physical Theory of Comets in the Light of Spectroscopic Data,496,General Physics and Astronomy,1942,4,1,9
Über die Bedeutung der Redoxkatalysatoren für Bakterien und Bakterienenzyme unter besonderer Berücksichtigung der bakteriellen Anaerobiose,419,,1942,,,10
Transits,13456,,,,,1
Imaging exoplanets,13456,,,,,2
Host stars,13456,,,,,3
The solar system,13456,,,,,4
Lensing exoplanets,13456,,,,,5
Astrometry,13456,,,,,6
Radial velocities,13456,,,,,7
Transiting exoplanets,13456,,,,,8
Notation and acronyms,13456,,,,,9
Radial velocity exoplanets,13456,,,,,10
"IX. <i>Observations on the Mistakes of Mr</i>. Lisle <i>and Mr</i>. Hearne, <i>in respect of King</i> Ælfred's <i>present to the Cathedrals. The late Use of the</i> Stylus, <i>or metalline Pen. Mr</i>. Wise's <i>Conjecture concerning the famous Jewel of King</i> Alfred, <i>further pursued, shewing it might possibly be Part of the</i> Stylus <i>sent by that King, with</i> Gregory's <i>Pastoral, to the Monastery at</i> Athelney. <i>By Mr.</i> Pegge",7,General Medicine,1773,,,1
"XXV. <i>A Dissertation on the Crane, as a Dish served up at great Tables in</i> England. <i>By the Reverend Mr.</i> Pegge",4,General Medicine,1773,,,2
XVII. <i>An Account of the Monument commonly ascribed to</i> Catigern. <i>By Mr.</i> Colebrooke,4,General Medicine,1773,,,3
"XXII. <i>Observations on</i> Caesar's <i>Invasion of</i> Britain, <i>and more particularly his Passage across the</i> Thames. <i>By the Hon</i>. Daines Barrington. <i>In two Letters, addressed to the late Bishop of</i> Carlisle",3,General Medicine,1773,,,4
"XXXI. <i>Some Remarks on Mr</i>. Walpole's <i>Historic Doubts on the Life and Reign of King</i> Richard <i>the Third, by</i> Robert Masters, <i>B. D. and Rector of</i> Landbeach, <i>in</i> Cambridgeshire",3,General Medicine,1773,,,5
"X. <i>Observations on the Aestel. By the Reverend Dr</i>. Milles, <i>in a Letter to the Right Reverend the Lord Bishop of</i> Carlisle, <i>President</i>",3,General Medicine,1773,,,6
"XXVIII. <i>The Construction of the old Wall at</i> Verolam. <i>The</i> Roman <i>Bricks compared with the Modern</i>, &amp;c. <i>In a Letter to Bishop</i> Lyttelton. <i>By Mr.</i> Webster",3,General Medicine,1773,,,7
XIX. <i>Observations on Stone Hammers. By Mr.</i> Pegge,2,General Medicine,1773,,,8
"XXVI. <i>An Account of a</i> Roman <i>Sepulchre, found near</i> York, <i>in</i> 1768. <i>By</i> John Burton, <i>M.D.</i>",2,General Medicine,1773,,,9
"XIV. <i>Observations on an Altar, with a Greek Inscription, at</i> Corbridge, <i>in</i> Northumberland. <i>By the Rev. Dr.</i> Pettingal",2,General Medicine,1773,,,10
Physiologie des Glykogens,1340,,1902,12,,1
Regeneration,1032,,1902,9,,2
Über den gegenwärtigen Stand der Frage nach der Lokalisation im Grosshirn,846,"Physiology (medical), Pharmacology, General Medicine, Physiology, Biochemistry",1902,9,,3
Die Halogenosalze,597,Inorganic Chemistry,1902,5,16,4
Die Influenza in chirurgischer Beziehung,520,Surgery,1902,11,,5
Bibliography of Archaeological Books 1901,363,"Archeology, Archeology",1902,4,1,6
Flüssiges Schwefeldioxyd als Lösungsmittel,358,,1902,4,3,7
Die verschiedenen Arten der Arbeitsgesänge,336,,1902,,,8
Über Metalldestillation und über destillierte Metalle,333,,1902,1,27,9
Herzmuskel und intrakardiale Innervation,328,,1902,9,,10
Neue Beiträge zur Kenntniss der Feuermeteore und der herabgefallenen Massen ... Anhang,27,General Physics and Astronomy,1821,,,1
Ueber den Zusammenhang zwischen der Optischen Structur und der Chemischen Zusammensetzung der Mineralien,14,General Physics and Astronomy,1821,,,2
XVII. <i>On the aëriform compounds of charcoal and hydrogen; with an account of some additional experiments on the gases from oil and from coal</i>,14,,1821,8,,3
"Ueber den Zusammenhang zwischen den Kern- oder Grund-Gestalten der Krystalle, und der Anzahl ihrer Axen doppelter Strahlenbrechung",12,General Physics and Astronomy,1821,,,4
"Ueber Volta's Fundamental-Versuch, mit besonderer Rücksicht auf einige Bemerkungen des Hrn Prof. Parrot in diesen Annalen (N. F. B. 31 S. 288), Jäger's Theorie der Verstärkung der Electricität in der Voltaischen Säule, und über den Zusammenhang des Galvanismus und Magnetismus mit dem Chemismus",10,General Physics and Astronomy,1821,,,5
"LXXIV. <i>Account of the native copper on the southern shore of Lake Superior, with historical citations and miscellaneous remarks, in a report to the Department of War</i>",8,,1821,11,,6
Gegen-Bemerkungen über die von Hrn Toussaint von Charpentier aufgestellte Erklärung des Vorwärtsgehens der Gletscher,8,General Physics and Astronomy,1821,,,7
"Gleichungen, zur Entwickelung und Berechnung zusammengesetzter Crystall-Gestalten des rhomboedrischen, pyramidalen und prismatischen Systems, nebst einigen Beispielen ihrer Anwendung ... Zur Erklärung der Zeichen, hinzugefügt nach Hrn Mohs Werk",5,General Physics and Astronomy,1821,,,8
"Versuche mit dem electrisch-magnetischen Multiplicator, und über Herrn Prechtl's Entdeckung",5,General Physics and Astronomy,1821,,,9
Anhang einiger Neuigkeiten aus der optischen Mineralogie,5,General Physics and Astronomy,1821,,,10
The Exoplanet Handbook,13456,,2018,8,25,1
References,6476,,2018,,,2
Bibliography,4581,,2018,6,22,3
References,4093,,2018,2,23,4
Bibliography,3771,,2018,,,5
Notes and References,3621,,2018,,,6
2018 Isis Current Bibliography,3377,"History and Philosophy of Science, Earth and Planetary Sciences (miscellaneous), History",2018,12,1,7
Bibliography,3329,,2018,,,8
Formation of Alkanes and Arenes by Coupling Reactions,3262,,2018,2,28,9
Review of the Classification of the Orders of Arachnida,2909,,2018,,,10
INTERACTIONS OF CORPORATE FINANCING AND INVESTMENT DECISIONS-IMPLICATIONS FOR CAPITAL BUDGETING,29,"Economics and Econometrics, Finance, Accounting",1512,6,15,1
"PROGRAMME der holländischen Gesellschaft der Wissenschaften zu Harlem, von den Jahren 1821 und 1822",14,General Physics and Astronomy,1822,,,1
"Chemische Untersuchung der Mineralien, welche die Krystallisation des Pyroxens haben, (der Sippschaft des Augits Werner's)",11,General Physics and Astronomy,1822,,,2
"Einige Nachträge zu den historischen Notizen in dem vorstehenden Aufsatze, die Theorie des Erd-Magnetismus betreffend",11,General Physics and Astronomy,1822,,,3
Bericht des Hrn Biot über M. C. A. Morlet's Untersuchungen über den magnetischen Aequator und den Magnetismus der Erde,10,General Physics and Astronomy,1822,,,4
"Zwei Berichte von der in den Jahren 1817 bis 1820 in wissenschaftlichen Zweckken angestellten See - Reise um die Welt unter dem kön. Schiffskapitän Louis von Freycinet, und von den wissenschaftl. Ergebnissen derselben, abgestattet der erste von ihm, der andere von einer Commiss. an die Akademie der Wiss. zu Paris",8,General Physics and Astronomy,1822,,,5
"XXI. <i>Report of a Committee of the House of Commons on Steam-boats; being the fifth report on the roads from London to Holyhead, &amp;c.</i>",7,,1822,8,31,6
Versuche und Bemerkungen über die Bestandtheile der Seeluft,7,General Physics and Astronomy,1822,,,7
Einiges aus dem Alterthume über die Blitzröhren,6,General Physics and Astronomy,1822,,,8
Auffindung und Ausgrabung einer 8 Leipz. Ellen 5¾ Zoll langen Blitzröhre bei Dresden,6,General Physics and Astronomy,1822,,,9
Ueber die Phosphoreszenz der Leuchtkäfer,5,General Physics and Astronomy,1822,,,10
Zur vergleichenden Physiologie der wirbellosen Thiere,46,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1845,,,1
Die Eigenthumsrechte der Apotheker an der Officin,44,"Drug Discovery, Pharmaceutical Science",1845,,,2
"Ueber den muthmasslichen Ursprung der Meteorsteine, nebst einer Analyse des Meteorsteins, welcher am 2. Juni 1843 in der Provinz Utrecht gefallen ist",41,General Physics and Astronomy,1845,,,3
Ueber das Glühen und Schmelzen von Metalldrähten durch Elektricität,39,General Physics and Astronomy,1845,,,4
Denkschrift,39,"Drug Discovery, Pharmaceutical Science",1845,,,5
Ricerche intorno alla vera posizione geologica del terreno del Macigno in Italia e nel mezzogiorno dell'Europa,32,,1845,12,,6
Ueber das Styrol und einige seiner Zersetzungsproducte,28,"Organic Chemistry, Physical and Theoretical Chemistry, Organic Chemistry, Physical and Theoretical Chemistry",1845,,,7
Von der Geschwindigkeit des Schalls zwischen zwei Standpunkten von gleicher oder ungleicher Höhe über dem Meere,28,General Physics and Astronomy,1845,,,8
Ueber das Absorptionsvermögen des Bluts für Sauerstoff,27,General Physics and Astronomy,1845,,,9
