subject,ref_count
General Energy,5819941
Behavioral Neuroscience,5717515
Anesthesiology and Pain Medicine,5696039
"Physical Therapy, Sports Therapy and Rehabilitation",5538007
Marketing,5518420
Otorhinolaryngology,5361257
Linguistics and Language,5236013
Urology,5163319
Signal Processing,4866753
Accounting,4791796
Language and Linguistics,4784940
"Statistics, Probability and Uncertainty",4762388
General Veterinary,4752676
Reproductive Medicine,4705310
Process Chemistry and Technology,4700036
"General Business, Management and Accounting",4698303
Geriatrics and Gerontology,4660487
Health (social science),4587837
Health Policy,4583302
Biological Psychiatry,4499783
Rheumatology,4460426
History and Philosophy of Science,4358897
Biochemistry (medical),4254690
Social Sciences (miscellaneous),4230526
Theoretical Computer Science,4186190
Law,4175353
Organizational Behavior and Human Resource Management,4138659
Nephrology,4133078
History,4125623
Nature and Landscape Conservation,4120602
Hardware and Architecture,4119200
Nuclear Energy and Engineering,4098634
Computer Vision and Pattern Recognition,4080955
Neuropsychology and Physiological Psychology,4068210
Aerospace Engineering,4024717
Geotechnical Engineering and Engineering Geology,3924435
Global and Planetary Change,3842711
General Dentistry,3828521
Rehabilitation,3803337
Sensory Systems,3785720
Anthropology,3743313
Development,3642823
Radiation,3527359
Anatomy,3495941
Statistical and Nonlinear Physics,3481401
Transplantation,3477578
Acoustics and Ultrasonics,3457296
Histology,3340649
Political Science and International Relations,3326296
Archeology,3304152
Information Systems and Management,3236140
"Safety, Risk, Reliability and Quality",3180669
General Social Sciences,3176928
Horticulture,3076624
Library and Information Sciences,3044625
Mathematical Physics,3029168
Communication,3025783
Fluid Flow and Transfer Processes,2983036
Radiological and Ultrasound Technology,2953363
Advanced and Specialized Nursing,2938695
Analysis,2886267
Computer Graphics and Computer-Aided Design,2846614
Cultural Studies,2699232
General Nursing,2679951
Aging,2636106
Numerical Analysis,2569736
Human-Computer Interaction,2552793
Ecological Modeling,2547584
Developmental Neuroscience,2547506
Philosophy,2427134
Health Informatics,2259148
Transportation,2195072
Computational Mechanics,2052512
Agricultural and Biological Sciences (miscellaneous),2005753
Ocean Engineering,1993665
Emergency Medicine,1979572
Public Administration,1974347
Oral Surgery,1967468
"Tourism, Leisure and Hospitality Management",1953140
Engineering (miscellaneous),1915708
"General Pharmacology, Toxicology and Pharmaceutics",1894103
Complementary and alternative medicine,1884011
Management Information Systems,1857667
Control and Optimization,1844586
Urban Studies,1794294
Filtration and Separation,1785093
Computers in Earth Sciences,1733815
Endocrine and Autonomic Systems,1727792
Environmental Science (miscellaneous),1706052
Materials Science (miscellaneous),1647280
Automotive Engineering,1573465
Algebra and Number Theory,1447270
Gender Studies,1402079
Speech and Hearing,1359286
Chemistry (miscellaneous),1359209
Demography,1351738
Food Animals,1312854
"General Economics, Econometrics and Finance",1270379
Human Factors and Ergonomics,1181296
Life-span and Life-course Studies,1180158
Embryology,1108994
General Decision Sciences,1098656
"Business, Management and Accounting (miscellaneous)",1076740
Discrete Mathematics and Combinatorics,1041538
Gerontology,1033927
Psychology (miscellaneous),1032109
Periodontics,1004029
Geometry and Topology,1001261
Mathematics (miscellaneous),967308
Media Technology,957246
Stratigraphy,933190
Economic Geology,899524
Chemical Engineering (miscellaneous),879898
Industrial relations,862188
"Economics, Econometrics and Finance (miscellaneous)",860278
Literature and Literary Theory,827909
Neuroscience (miscellaneous),791263
"Biochemistry, Genetics and Molecular Biology (miscellaneous)",781505
Medical Laboratory Technology,726975
Energy (miscellaneous),706557
Safety Research,671084
Visual Arts and Performing Arts,670436
Logic,629598
Health Information Management,608667
Pshychiatric Mental Health,583902
Religious studies,568181
Small Animals,542604
"Issues, ethics and legal aspects",503045
Computer Science (miscellaneous),495001
Leadership and Management,477773
Orthodontics,443337
Architecture,430855
Veterinary (miscellaneous),429925
Family Practice,422767
Emergency Nursing,406292
Equine,382704
"Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",376115
General Arts and Humanities,369018
General Health Professions,339684
Maternity and Midwifery,312257
Music,310016
LPN and LVN,304535
Pediatrics,276850
Health Professions (miscellaneous),276080
Community and Home Care,274876
Oncology (nursing),266317
Critical Care Nursing,247672
Occupational Therapy,245313
Optometry,243947
Museology,214414
Chiropractics,212714
Nursing (miscellaneous),197503
Pharmacy,189636
Chemical Health and Safety,184691
Immunology and Microbiology (miscellaneous),162476
Conservation,157477
Classics,141411
Medical–Surgical Nursing,141139
Fundamentals and skills,140737
Complementary and Manual Therapy,132975
Dentistry (miscellaneous),104735
Assessment and Diagnosis,86803
Care Planning,84699
Research and Theory,80925
Review and Exam Preparation,63283
Pharmacology (nursing),62159
Medical Assisting and Transcription,42288
Medical Terminology,40362
Decision Sciences (miscellaneous),34355
Drug Guides,23929
Podiatry,23734
Reviews and References (medical),13328
Emergency Medical Services,6294
Nurse Assisting,5321
"Pediatrics, Perinatology, and Child Health",4601
Respiratory Care,1148
Clinical Neurology,514
Genetics(clinical),244
Obstetrics and Gynaecology,212
Critical Care,196
Radiology Nuclear Medicine and imaging,105
Dental Hygiene,25
Dental Assisting,25
Emergency,2
